Date,Open,High,Low,Close,Adj Close,Volume
2021-03-30,2790.000000,2790.000000,2700.000000,2710.000000,2708.705811,2252600
2021-03-31,2700.000000,2710.000000,2530.000000,2560.000000,2558.777344,4835100
2021-04-01,2550.000000,2630.000000,2500.000000,2630.000000,2628.744141,3132100
2021-04-05,2670.000000,2740.000000,2530.000000,2610.000000,2608.753662,3876600
2021-04-06,2620.000000,2620.000000,2530.000000,2570.000000,2568.772705,1630100
2021-04-07,2570.000000,2590.000000,2480.000000,2520.000000,2518.796631,2295300
2021-04-08,2530.000000,2600.000000,2500.000000,2560.000000,2558.777344,3280900
2021-04-09,2560.000000,2770.000000,2560.000000,2670.000000,2668.724854,7004600
2021-04-12,2680.000000,2700.000000,2510.000000,2540.000000,2538.787109,3311600
2021-04-13,2550.000000,2560.000000,2450.000000,2490.000000,2488.810791,2116100
2021-04-14,2500.000000,2550.000000,2500.000000,2520.000000,2518.796631,1489400
2021-04-15,2520.000000,2540.000000,2500.000000,2510.000000,2508.801270,955700
2021-04-16,2510.000000,2560.000000,2480.000000,2510.000000,2508.801270,1214300
2021-04-19,2530.000000,2710.000000,2490.000000,2700.000000,2698.710693,6302500
2021-04-20,2700.000000,3070.000000,2650.000000,3000.000000,2998.567383,29647500
2021-04-21,2950.000000,3040.000000,2870.000000,3000.000000,2998.567383,12104300
2021-04-22,2990.000000,3030.000000,2880.000000,2890.000000,2888.619873,3458900
2021-04-23,2890.000000,2890.000000,2740.000000,2760.000000,2758.681885,3928600
2021-04-26,2760.000000,2830.000000,2590.000000,2610.000000,2608.753662,4777700
2021-04-27,2610.000000,2700.000000,2590.000000,2640.000000,2638.739258,2453100
2021-04-28,2650.000000,2710.000000,2650.000000,2660.000000,2658.729736,1567200
2021-04-29,2660.000000,2720.000000,2650.000000,2660.000000,2658.729736,1812300
2021-04-30,2660.000000,2950.000000,2650.000000,2800.000000,2798.662842,11722700
2021-05-03,2800.000000,2820.000000,2720.000000,2730.000000,2728.696289,2286000
2021-05-04,2730.000000,2770.000000,2710.000000,2720.000000,2718.701172,1047900
2021-05-05,2720.000000,2750.000000,2670.000000,2680.000000,2678.720215,1711200
2021-05-06,2700.000000,2730.000000,2650.000000,2660.000000,2658.729736,1075800
2021-05-07,2660.000000,2720.000000,2650.000000,2670.000000,2670.000000,2139500
2021-05-10,2680.000000,2710.000000,2660.000000,2660.000000,2660.000000,1023000
2021-05-11,2670.000000,2680.000000,2610.000000,2640.000000,2640.000000,1183700
2021-05-17,2640.000000,2680.000000,2570.000000,2580.000000,2580.000000,2992600
2021-05-18,2610.000000,2630.000000,2550.000000,2610.000000,2610.000000,1676300
2021-05-19,2610.000000,2630.000000,2550.000000,2550.000000,2550.000000,1000800
2021-05-20,2610.000000,2610.000000,2520.000000,2530.000000,2530.000000,970100
2021-05-21,2560.000000,2560.000000,2420.000000,2420.000000,2420.000000,2103100
2021-05-24,2420.000000,2460.000000,2370.000000,2370.000000,2370.000000,1209900
2021-05-25,2370.000000,2440.000000,2370.000000,2420.000000,2420.000000,856200
2021-05-27,2430.000000,2470.000000,2410.000000,2420.000000,2420.000000,1053900
2021-05-28,2420.000000,2450.000000,2400.000000,2430.000000,2430.000000,676500
2021-05-31,2430.000000,2700.000000,2430.000000,2600.000000,2600.000000,5814000
2021-06-02,2630.000000,2700.000000,2570.000000,2600.000000,2600.000000,2616000
2021-06-03,2630.000000,2630.000000,2580.000000,2600.000000,2600.000000,1038100
2021-06-04,2600.000000,2650.000000,2570.000000,2590.000000,2590.000000,2102400
2021-06-07,2620.000000,2620.000000,2500.000000,2500.000000,2500.000000,3254200
2021-06-08,2500.000000,2500.000000,2400.000000,2420.000000,2420.000000,2533100
2021-06-09,2420.000000,2450.000000,2400.000000,2440.000000,2440.000000,817600
2021-06-10,2440.000000,2450.000000,2420.000000,2440.000000,2440.000000,1041500
2021-06-11,2450.000000,2510.000000,2440.000000,2440.000000,2440.000000,1182500
2021-06-14,2470.000000,2620.000000,2440.000000,2570.000000,2570.000000,4856900
2021-06-15,2590.000000,2620.000000,2460.000000,2520.000000,2520.000000,3965600
2021-06-16,2520.000000,2530.000000,2450.000000,2470.000000,2470.000000,1345700
2021-06-17,2470.000000,2470.000000,2420.000000,2430.000000,2430.000000,931800
2021-06-18,2400.000000,2470.000000,2310.000000,2330.000000,2330.000000,2023200
2021-06-21,2350.000000,2910.000000,2190.000000,2910.000000,2910.000000,33662900
2021-06-22,3050.000000,3490.000000,2960.000000,3040.000000,3040.000000,76145700
2021-06-23,3070.000000,3180.000000,2830.000000,2830.000000,2830.000000,17582300
2021-06-24,2800.000000,2850.000000,2640.000000,2690.000000,2690.000000,9608000
2021-06-25,2700.000000,3050.000000,2700.000000,2800.000000,2800.000000,21560000
2021-06-28,2820.000000,3280.000000,2810.000000,3250.000000,3250.000000,38482400
2021-06-29,3310.000000,3420.000000,3100.000000,3240.000000,3240.000000,38669700
2021-06-30,3240.000000,3270.000000,3120.000000,3140.000000,3140.000000,7709900
2021-07-01,3190.000000,3410.000000,3150.000000,3370.000000,3370.000000,42866300
2021-07-02,3420.000000,3450.000000,3250.000000,3270.000000,3270.000000,17268100
2021-07-05,3280.000000,3380.000000,3250.000000,3340.000000,3340.000000,10824700
2021-07-06,3350.000000,3380.000000,3180.000000,3200.000000,3200.000000,10852300
2021-07-07,3240.000000,3310.000000,3150.000000,3200.000000,3200.000000,7408200
2021-07-08,3250.000000,3280.000000,3170.000000,3190.000000,3190.000000,5323100
2021-07-09,3180.000000,3260.000000,3120.000000,3150.000000,3150.000000,5806100
2021-07-12,3230.000000,3670.000000,3200.000000,3540.000000,3540.000000,59012700
2021-07-13,3500.000000,3570.000000,3300.000000,3300.000000,3300.000000,25623600
2021-07-14,3310.000000,3570.000000,3260.000000,3500.000000,3500.000000,39846800
2021-07-15,3550.000000,3610.000000,3420.000000,3430.000000,3430.000000,28974400
2021-07-16,3450.000000,3500.000000,3390.000000,3410.000000,3410.000000,7825900
2021-07-19,3420.000000,3420.000000,3180.000000,3180.000000,3180.000000,18112800
2021-07-21,3180.000000,3180.000000,2990.000000,3010.000000,3010.000000,11253100
2021-07-22,3020.000000,3060.000000,3000.000000,3010.000000,3010.000000,3875900
2021-07-23,3000.000000,3100.000000,2930.000000,3000.000000,3000.000000,7484900
2021-07-26,3020.000000,3060.000000,2930.000000,2940.000000,2940.000000,4331900
2021-07-27,2940.000000,2970.000000,2900.000000,2900.000000,2900.000000,4842900
2021-07-28,2910.000000,2980.000000,2800.000000,2850.000000,2850.000000,8484000
2021-07-29,2860.000000,2890.000000,2740.000000,2740.000000,2740.000000,9785700
2021-07-30,2800.000000,2800.000000,2660.000000,2660.000000,2660.000000,4632800
2021-08-02,2680.000000,2740.000000,2660.000000,2690.000000,2690.000000,2631800
2021-08-03,2720.000000,2770.000000,2650.000000,2670.000000,2670.000000,5524300
2021-08-04,2670.000000,2690.000000,2630.000000,2640.000000,2640.000000,3234100
2021-08-05,2650.000000,2710.000000,2540.000000,2550.000000,2550.000000,7629700
2021-08-06,2550.000000,2580.000000,2520.000000,2560.000000,2560.000000,2763400
2021-08-09,2560.000000,2570.000000,2410.000000,2410.000000,2410.000000,5835100
2021-08-10,2420.000000,2550.000000,2410.000000,2480.000000,2480.000000,4297900
2021-08-12,2480.000000,2500.000000,2420.000000,2420.000000,2420.000000,2123000
2021-08-13,2430.000000,2450.000000,2410.000000,2440.000000,2440.000000,2272200
2021-08-16,2430.000000,2460.000000,2350.000000,2350.000000,2350.000000,2727900
2021-08-18,2350.000000,2430.000000,2350.000000,2370.000000,2370.000000,2853600
2021-08-19,2370.000000,2420.000000,2300.000000,2320.000000,2320.000000,2740300
2021-08-20,2330.000000,2340.000000,2270.000000,2300.000000,2300.000000,1530600
2021-08-23,2310.000000,2450.000000,2310.000000,2430.000000,2430.000000,3770800
2021-08-24,2460.000000,2470.000000,2370.000000,2370.000000,2370.000000,2177500
2021-08-25,2390.000000,2420.000000,2370.000000,2400.000000,2400.000000,1219700
2021-08-26,2430.000000,2460.000000,2380.000000,2380.000000,2380.000000,1675700
2021-08-27,2380.000000,2400.000000,2350.000000,2360.000000,2360.000000,892600
2021-08-30,2360.000000,2450.000000,2360.000000,2450.000000,2450.000000,1985900
2021-08-31,2510.000000,2550.000000,2390.000000,2410.000000,2410.000000,4960100
2021-09-01,2410.000000,2410.000000,2370.000000,2370.000000,2370.000000,1082400
2021-09-02,2370.000000,2400.000000,2360.000000,2360.000000,2360.000000,640200
2021-09-03,2360.000000,2390.000000,2360.000000,2370.000000,2370.000000,767100
2021-09-06,2370.000000,2420.000000,2370.000000,2390.000000,2390.000000,1405900
2021-09-07,2390.000000,2430.000000,2390.000000,2410.000000,2410.000000,1211600
